Issue Identifier,Eduardo,Rahul,Consensus,,Key,,
gcc captures build path,2,2,2,,Existing Category ID,Category Name,Tip for categorization
records build flags,2,2,2,,1,Build timestamps,Date and time
build id differences only,2,2,2,,2,Build paths,Relative path
captures build path,2,2,2,,3,Filesystem ordering,"Readdir, sort"
captures shell variable in autofoo script,5,2,2,,4,Archive metadata,".tar, .zip"
build path captured in assembly objects,2,2,2,,5,Randomness,"Hash tables, dict, processes/threads"
random order in documentation generated by javadoc,5,3,5,,6,Unitialized memory,"Random/arbitrary data, FUSE"
random id in pdf generated by dblatex,5,5,5,,?,Unknown,16
blacklisted on jenkins armhf only,?,?,0,,*,Multiple categories,
nondeterministic ordering in documentation generated by doxygen,5,5,5,,New Category ID,Category Name,
captures build path via assert,2,2,2,,7,Build ID,
build id variation requiring further investigation,5,?,7,,8,Architecture information,
timestamps in qhc,1,1,1,,9,User information,
paths vary due to usrmerge,2,?,2,,10,Encoding information,
captures build arch,?,?,8,,11,File permission,
test suite logs,?,1,"1, 8, 9",,12,File encoding,
randomness in qdoc,5,5,5,,13,System's DNS name,
graphviz nondeterministic output,5,5,5,,14,Reference to memory address,
nondeterminstic todo identifiers in documentation generated by doxygen,5,?,16,,15,Package information,
randomness in r rdb rds databases,5,?,2,,17,Locale,
random order in md5sums,3,3,3,,18,Package dependencies,
different encoding in html by docbook xsl,2,?,10,,,,
translations missing due to intltool merge,5,?,5,,Other stuff ID,,
captures kernel version,?,?,8,,0,Out of context (some issue that should not appear in the list of reproducible build issues),
randomness in documentation generated by sphinx,5,5,5,,16,There's insufficient data for categorization (no meaninful discussion),
random order in static libraries,5,5,5,,,,
random order in tarball,5,4,4,,,,
fonts in pdf files,1,5,1,,,,
test suite logs,5,3,5,,,,
ftbfs due to f-file-prefix-map,2,2,2,,,,
different due to umask,5,?,11,,,,
timestamps in pdf generated by latex,1,1,1,,,,
timestamps in tarball,1,1,1,,,,
randomness in fat lto objects,2,?,2,,,,
users and groups in tarball,?,4,4,,,,
different encoding,?,?,12,,,,
timestamps from cpp macros,1,1,1,,,,
timestamps in ps generated by dvips,1,1,1,,,,
timestamps in manpages generated by rst2man,1,1,1,,,,
user hostname manually added requiring further investigation,?,?,"9, 13",,,,
randomness in objects inv,?,3,3,,,,
pdf id varying due to build path,"1, 2",2,2,,,,
timestamps in gzip headers,1,1,1,,,,
random order in java jar manifest mf,5,3,3,,,,
timestamps in documentation generated by doxygen,1,1,1,,,,
captures build dir in qmake prl files,2,2,2,,,,
timestamps in jar,1,1,1,,,,
build dir in documentation generated by doxygen,2,2,2,,,,
build path in qdoc,2,2,2,,,,
pdf created by ghostscript,"1, ?",1,"1, 7",,,,
cryptographic signature,?,?,16,,,,
randomness in documentation generated by epydoc,"1, 3, ?",1,"1, 3, 14",,,,
timestamps in pdf generated by apache fop,1,1,1,,,,
timestamps in documentation generated by javadoc,1,1,1,,,,
diffoscope runs forever,?,?,0,,,,
randomness in icc colour profiles,?,?,16,,,,
timestamps in tex documents,1,1,1,,,,
timestamps in source generated by rcc,1,1,1,,,,
build dir in tags generated by doxygen,2,2,2,,,,
random order in python environment pickle,5,4,4,,,,
timestamps in manpages generated by docbook xsl,1,1,1,,,,
ffile prefix map passed to clang,?,2,2,,,,
captures kernel version via CMAKE SYSTEM,?,?,8,,,,
cmake rpath contains build path,2,2,2,,,,
random order of pdf ids generated by latex,5,5,5,,,,
portable executable strong name varies,?,?,16,,,,
random order in plexus components xml,5,5,5,,,,
build path in header generated by glib genmarshal,2,2,2,,,,
randomness in documentation indices generated by sphinx,5,5,5,,,,
build path in index files generated by qdoc,2,2,2,,,,
random hashes in cython output,5,5,5,,,,
randomness in binaries generated by golang,5,2,2,,,,
lynx dump varies output with locale,?,?,12,,,,
timestamps in pe binaries,"1, 5",1,"1, 16",,,,
user in java jar manifest,?,?,9,,,,
timestamps in zip,4,1,4,,,,
random order in javahelper manifest files,5,3,3,,,,
unsorted file glob by cmake,3,3,3,,,,
timestamps in dvi generated by latex,1,1,1,,,,
timezone variance because of automake mdate,1,1,1,,,,
nondeterministic ordering in python wheel metadata versions,5,5,5,,,,
lxqt translate desktop binary file matched under certain locales,?,?,16,,,,
collation order varies by locale,3,?,3,,,,
absolute build dir in docs generated by doxygen ref,2,2,2,,,,
build path captured in emacs el file,2,2,2,,,,
random order in documentation generated by naturaldocs,5,5,5,,,,
user in documentation generated by gsdoc,?,?,9,,,,
random order in sisu javax inject named,5,3,3,,,,
captures users gecos,?,?,9,,,,
bin sh is bash,?,?,3,,,,
timestamps in pdf generated by matplotlib,1,1,1,,,,
golang compiler captures build path in binary,2,2,2,,,,
captures varying number of build path directory components,2,2,2,,,,
uids gids in tarballs generated by cmake kde package app templates,?,4,4,,,,
timestamps in rcc files generated by rcc,1,1,1,,,,
texi2html captures users gecos,?,?,9,,,,
randomness in binaries generated by ruby mkmf,1,1,1,,,,
sphinxdoc translations,?,?,16,,,,
timestamps in manpages generated by help2man,1,1,1,,,,
gfortran mod captures build path,2,2,2,,,,
timestamps in documentation generated by sphinx,1,1,1,,,,
timestamps embedded in manpages by node marked man,1,1,1,,,,
timestamps in manpages generated by latex2man,1,1,1,,,,
timestamps in emacs autoloads,1,1,1,,,,
ocaml captures build path,2,2,2,,,,
timestamps in h generated by qdbusxml2cpp,1,1,1,,,,
build path in files generated by qdbusxml2cpp,2,2,2,,,,
randomness in frozenset representations in sphinx,5,5,5,,,,
lessc nondeterministic keys,5,5,5,,,,
timestamps in manpages added by golang go flags,1,1,1,,,,
build path in code generated by dgbus codegen,2,2,2,,,,
timestamps in png,1,1,1,,,,
clilibs line order,5,5,5,,,,
randomness in browserify lite output,5,5,5,,,,
randomness in dh cligacpolicy scripts,5,5,5,,,,
varying mtimes in data tar gz or control tar gz,1,4,4,,,,
timezones manpages podman,1,1,1,,,,
timestamp in enc files added by texlive fontinst,1,1,1,,,,
href links mangled by node marked,5,?,10,,,,
randomness in ocaml preprocessed files,"2, 5",?,3,,,,
fontforge resets modification time,1,1,1,,,,
build path captured by octave,2,2,2,,,,
randomness in postgres opcodes,5,5,5,,,,
build path in include graphs generated by doxygen,2,2,2,,,,
timestamps in documentation generated by groovydoc,1,1,1,,,,
timestamp in fonts generated by opentype,1,1,1,,,,
timestamps in manpages added by golang cobra,1,1,1,,,,
timestamps in static libraries,"1, 5",1,1,,,,
timestamps in pdf content,1,1,1,,,,
nondeterminism added by pyqt5 pyrcc5,5,3,3,,,,
kodi package captures build path in source filename hash,?,2,2,,,,
build path in direct url json file generated by flit,2,2,2,,,,
timestamps in epub,1,1,1,,,,
cython captures build path,2,2,2,,,,
ftbfs uninvestigated test failures,?,?,16,,,,
timestamp in java bnd manifest,1,1,1,,,,
timestamps in javascript generated by node grunt banner,1,1,1,,,,
copyright year in documentation generated by sphinx,1,1,1,,,,
nondeterministic defaults in documentation generated by python traitlets,?,?,5,,,,
captures build path in beam cma cmt files,"2, ?",2,2,,,,
build time embedded by fontforge,1,1,1,,,,
randomness in python changelog references,5,5,5,,,,
timestamps in pdf generated by libreoffice,1,1,1,,,,
nondeterministic java bytecode,?,?,16,,,,
random uuid in notebooks generated by nbsphinx,5,?,5,,,,
built by-in java manifest mf,?,?,9,,,,
python versioneer uses parentdir,2,2,2,,,,
build path captured by valac,2,2,2,,,,
python shebang and dependency nondeterministically 3 or 3 point 5,2,?,2,,,,
python sphinx gallery adds timing to output,?,1,1,,,,
leaks path environment variable,2,2,2,,,,
bundle name in java manifest mf,?,?,15,,,,
randomness in fontconfig uuid files,5,?,5,,,,
unknown ada issue,5,?,16,,,,
timestamps in cmake,1,1,1,,,,
randomness in c files generated by extutils parsexs,5,5,5,,,,
randomness in documentation generated by lua ldoc,5,5,5,,,,
randomness in html generated by texi2html,5,5,5,,,,
randomness in ocaml cmti files,"2, 5",?,5,,,,
python-ply compiled parse tables,5,5,5,,,,
umask in java jar file,?,5,11,,,,
random argument handling in javatools jh build,5,5,5,,,,
nondeterministic output generated by moarvm,5,?,5,,,,
timestamps in documentation generated by texi2html,1,1,1,,,,
python-ply lextokens,5,5,5,,,,
buildpath in binaries generated by d compiler gdc,2,2,2,,,,
